CityName,CityUniqueID,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,shelter,solid waste,technology and innovation,transportation,urban planning,wastewater,water and sanitation,all
DAR ES SALAAM,84,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
DARKHAN,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAKA,146,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3
DIPOLOG,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNIPROPETROVSK,313,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
DONGOLA,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUBAI,59,1,2,0,0,0,1,1,4,2,1,2,0,0,0,5,2,21
DURBAN,65,2,2,2,2,1,2,1,4,1,1,2,2,4,1,2,3,32
EDMONTON,360,2,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,9
EL UQSUR (LUXOR),397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESCALANTE,82,2,4,1,0,1,2,1,3,2,0,1,1,2,0,1,1,22
FARO,414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FLORIANOPOLIS,99,2,3,2,0,1,0,1,4,2,1,2,0,2,0,1,1,22
FORT WORTH,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOIANIA,271,2,4,2,0,1,2,1,4,2,1,2,2,4,1,5,3,36
GREATER BRISBANE,376,2,4,2,2,1,2,1,4,2,1,2,2,3,1,5,3,37
GREATER MELBOURNE,223,1,0,1,1,0,0,1,2,0,1,0,0,3,0,1,3,14
GUADALUPE,184,0,3,1,0,0,1,0,1,0,0,0,2,1,0,1,1,11
GUAYAQUIL,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUELPH,232,1,0,2,1,1,2,1,0,2,0,2,0,3,1,5,3,24
HAIPHONG,165,2,4,2,0,0,2,1,4,2,1,2,2,4,1,4,3,34
HAMILTON,277,2,2,2,2,1,2,1,4,2,0,2,2,4,1,5,3,35
HARARE,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEBRON,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELSINKI,293,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5
HELSINKI REGION,343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HILLA,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HORLIVKA,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ILE-DE-FRANCE,141,2,4,2,1,1,0,1,4,1,1,2,2,4,1,5,3,34
IRBID,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISMAILIA,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISTANBUL,421,2,3,2,2,0,2,1,4,2,0,2,1,2,1,2,2,28
ISULAN,150,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5
JAKARTA,138,2,1,1,2,0,2,0,4,1,0,0,1,1,1,0,0,16
JEDDAH,390,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,6
JERASH,407,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
JOHANNESBURG,67,2,0,1,1,1,0,1,1,1,1,2,0,0,1,1,3,16
KABANKALAN,109,2,4,2,0,1,2,1,4,2,1,2,2,2,0,0,3,28
