CityName,CityUniqueID_,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,solid waste,telecommunication and innovation,transportation,shelter,urban planning,wastewater,water and sanitation,all
Nantong,C073,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Lianyungang,C074,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huai'an,C075,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yancheng,C076,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yangzhou,C077,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhenjiang,C078,1,1,1,1,0,0,0,3,0,1,2,1,0,1,2,3,17
Taizhou,C079,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Fuyang,C102,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Suqian,C080,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hangzhou,C081,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ningbo,C082,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Wenzhou,C083,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jiaxing,C084,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huzhou,C085,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shaoxing,C086,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jinhua,C087,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Quzhou,C088,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhoushan,C089,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Taizhou,C090,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Lishui,C091,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hefei,C092,1,1,1,1,1,0,0,3,0,1,2,1,0,0,1,3,16
Wuhu,C093,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Bengbu,C094,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huainan,C095,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ma'anshan,C096,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huaibei,C097,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tongling,C098,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Anqing,C099,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huangshan,C100,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Chuzhou,C101,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Suzhou,C103,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Liu'an,C104,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Bozhou,C105,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,2,17
Chizhou,C106,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xuancheng,C107,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Fuzhou,C108,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xiamen,C109,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Putian,C110,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Sanming,C111,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Quanzhou,C112,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhangzhou,C113,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Nanping,C114,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Longyan,C115,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ningde,C116,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Nanchang,C117,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jingdezhen,C118,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Pingxiang,C119,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jiujiang,C120,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xinyu,C121,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yingtan,C122,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ganzhou,C123,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ji'an,C124,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yichun,C125,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Fuzhou,C126,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shang'rao,C127,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jinan,C128,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Qingdao,C129,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zibo,C130,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zaozhuang,C131,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Dongying,C132,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yantai,C133,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Weifang,C134,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jining,C135,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tai'an,C136,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Weihai,C137,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Rizhao,C138,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Laiwu,C139,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Linyi,C140,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Dezhou,C141,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Liaocheng,C142,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Binzhou,C143,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Heze,C144,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhengzhou,C145,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Kaifeng,C146,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Luoyang,C147,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Pingdingshan,C148,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Anyang,C149,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hebi,C150,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xinxiang,C151,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jiaozuo,C152,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Puyang,C153,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xuchang,C154,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Luohe,C155,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Sanmenxia,C156,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Nanyang,C157,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shangqiu,C158,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xinyang,C159,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhoukou,C160,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhumadian,C161,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Wuhan,C162,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huangshi,C163,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shiyan,C164,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yichang,C165,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xiangfan,C166,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ezhou,C167,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jingmen,C168,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xiaogan,C169,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jingzhou,C170,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huanggang,C171,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xianning,C172,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Suizhou,C173,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Changsha,C174,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhuzhou,C175,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xiangtan,C176,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hengyang,C177,1,1,1,1,0,0,0,3,0,1,2,1,0,1,2,3,17
Shaoyang,C178,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yueyan,C179,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Changde,C180,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhangjiajie,C181,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yiyang,C182,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Chenzhou,C183,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yongzhou,C184,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huaihua,C185,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Loudi,C186,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Guangzhou,C187,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shaoguan,C188,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shenzhen,C189,0,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,17
Zhuhai,C190,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shantou,C191,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Foshan,C192,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jiangmen,C193,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhanjiang,C194,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Maoming,C195,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhaoqing,C196,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Huizhou,C197,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Meizhou,C198,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shanwei,C199,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Heyuan,C200,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yangjiang,C201,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Qingyuan,C202,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Dongguan,C203,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhongshan,C204,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jieyang,C205,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yunfu,C206,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Nanning,C207,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Liuzhou,C208,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Guilin,C209,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Wuzhou,C210,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Beihai,C211,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Fangchenggang,C212,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Qinzhou,C213,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Guigang,C214,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yulin,C215,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Beise,C216,1,1,1,1,0,0,0,3,0,1,2,1,0,1,2,3,17
Hezhou,C217,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hechi,C218,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Laibin,C219,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Congzuo,C220,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Haikou,C221,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Sanya,C222,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Chongqing,C223,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Chengdu,C224,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zigong,C225,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Panzhihua,C226,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Luzhou,C227,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Deyang,C228,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Mianyang,C229,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Guangyuan,C230,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Suining,C231,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Neijiang,C232,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Leshan,C233,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Nanchong,C234,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Meishan,C235,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yibin,C236,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Guang'an,C237,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Dazhou,C238,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ya'an,C239,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Bazhong,C240,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ziyang,C241,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Guiyang,C242,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
