CityName,CityUniqueID_,Annual number of public transit trips per capita_52,Average life expectancy_198,City unemployment rate_212,Commercial/industrial assessment as a percentage of total assessment_61,Debt service ratio (debt service expenditures as a percent of a municipality's own-source revenue)_106,"Green area (hectares) per 100,000 population_113",Greenhouse gas emissions measured in tonnes per capita_121,"Km of high capacity public transit system per 100,000 population_200","Km of light passenger transit system per 100,000 population_201","Number of cell phone connections per 100,000 population_177","Number of fire related deaths per 100,000 population_36","Number of firefighters per 100,000 population_32","Number of homicides per 100,000 population_44","Number of in-patient hospital beds per 100,000 population_40","Number of internet connections per 100,000 population_125",Number of personal automobiles per capita_202,"Number of physicians per 100,000 population_41","Number of police officers per 100,000 population_45",Percentage of city population living in poverty_124,Percentage of city population living in slums_122,Percentage of city population served by wastewater collection_56,Percentage of city population with authorized electrical service_103,Percentage of city population with potable water supply service_59,Percentage of city population with regular solid waste collection_47,Percentage of city population with sustainable access to an improved water source_204,Percentage of female population enrolled in schools_141,Percentage of students completing primary education_139,Percentage of students completing secondary education_140,Percentage of the city's solid waste that is recycled_146,Percentage of the city's wastewater receiving primary treatment_155,Percentage of the city's wastewater receiving secondary treatment_156,Percentage of the city's wastewater receiving tertiary treatment_157,Percentage of the city's wastewater that has received no treatment_154,PM10 Concentration_214,Student/teacher ratio_28,Total domestic water consumption per capita (litres/day)_61,Total electrical use per capita (kWh/year)_104,"Under age five mortality per 1,000 live births_38",Voter participation in last municipal election (as a percent of eligible voters)_114
BELO HORIZONTE,19,233.77,74.4,6.85,,0.69,183,1.32,74.03,74.03,92987.81,0.04,104.92,25.43,399.29,57651.03,,661.89,448.06,6.23,16.23,99.6,100,100,95,98.01,94.89,91.59,61.33,1.06,7.08,39.09,,28.03,51.7,20.73,132.06,3312.21,13.4,71.08
BENGALURU,415,209.01,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,
BETHLEHEM,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETIM,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRMINGHAM,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
BISSAU,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOGOR,100,0,71.8,,,,0.16,,82.79,662.98,,0,9.06,0.77,191.49,,0,39.3,,1.18,8.8,50,100,,,,99.99,99.7,99.04,70,,,,26,,16.8,,1658.89,49,
BOGOTA,24,337,77.1,9.5,54.05,5.86,63.03,,11.79,192.79,114864,0.12,6.02,8.28,166.13,14137.57,0.17,660.41,261.7,13.09,3.05,99.23,99.9,99.94,91,99.2,88.43,93.3,83.3,0.09,29.09,0,0,70.91,46.37,27.87,76.49,1177.66,10.28,47.8
BORYSPIL,290,,66.68,0.7,,0.5,1154.24,,,,77457.63,5.08,61.02,5.08,728.81,,0.47,433.9,,,,48.04,,55.37,78.66,,100,,,,,,,,,27.84,98.18,,8.11,44.4
BRISBANE,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCARAMANGA,191,,74.3,9.7,62.33,17.57,,,,,,0,13.33,2.6,174.6,,,,,18,,,99,99.2,92.36,99.2,,,,,,,,,,,16.28,0.4,20.1,
BUENOS AIRES,366,285,76,59,22.2,23,95.12,19,167.75,4.29,138408.3,0.21,35.99,6.57,257.37,164301.87,0.45,1062.15,671.28,7.1,5.7,98,99.51,100,98,99,99.4,99.8,94.1,5,,,,1,33,142,600,0.4,8,74.2
BULAWAYO,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAIRO,363,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,
CALBAYOG,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALI,25,0,74.2,14.33,21.5,13.29,25.27,1.59,1.49,1.34,80007.47,0,15.9,80.31,152.49,12515.15,0.17,,242.27,23.1,7,84.44,90.05,85.38,92.77,100,87.88,,,3,82.42,,,17.58,30.5,21.75,117.95,1160.1,11.66,42.84
CANCUN,373,71.31,76.62,,,7.55,69.9,,0,0,,0.75,21.39,13.1,70.03,,0.25,159.94,192.02,28.03,6.9,69.69,92.51,87.44,82.87,95.79,105.4,97.6,83.7,0,100,100,0,0,,30.91,93.99,3093.93,,57.3
CAPE TOWN,148,,65,23.1,,,2895,,,,,,,44,,,,,,34.63,21,93.21,90.8,98.79,90.8,100,,,,,,,,,,32.52,,,,
CARTAGENA,238,,,7.6,,,,,,,,,,26.67,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUAYAN,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHERKASY,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARINGTON,91,,81.5,7.97,87.2,7.68,,5.7,0,114.44,,0,63.33,0,117.78,,,52.22,967.78,,,66.2,100,71.51,,100,,100,,,100,100,100,0,,7,168,,6,40.34
COLIMA,256,,,,,,,,,,,,,,88.26,,0.57,,,,,,,56.65,,,,,,,,,,,,,,,,
COLOMBO,211,,72,,,,,,,,28702.56,,,,,26902.39,,,,,,,,,,97.5,,87.9,,,,,,,77,,,,17.8,
CONAKRY,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPCION,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COTABATO,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUCUTA,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CULIACAN,187,1200,74,,,2.11,,,,,,0.48,23,107.68,79.69,,0.28,267.99,191,,,98.1,98.84,99.3,100,,,98.5,80.8,1.5,,,,,,30,,147.41,11.4,57
