CityName,CityUniqueID_,economy,education,energy,fire and emergency,finance,governance,health,safety,technology and innovation,transportation,"urban planning, shelter and environment",waste management,wastewater,water and sanitation,all
PUERTO PRINCESA,217,2,4,2,2,1,1,4,2,1,2,4,2,0,3,30
QUEZON CITY,108,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
QUILMES,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUITO,333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
RAMALLAH,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGION OF PEEL,418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
REXTON,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICHMOND HILL,105,3,4,2,2,1,1,4,2,2,4,4,2,4,3,38
RIGA,246,3,2,1,0,1,1,4,2,1,4,2,2,2,3,28
RIYADH,386,1,1,1,0,0,1,3,0,1,2,1,1,1,3,16
ROTTERDAM,245,2,0,2,0,1,0,0,0,0,2,4,2,1,3,17
ROXAS,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAANICH,136,3,3,2,2,1,1,4,2,1,4,3,2,5,3,36
SAN ANTONIO,288,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAN FERNANDO,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN JOSE DEL MONTE,130,1,4,0,2,1,1,4,2,0,0,1,2,0,2,20
SAN PABLO,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SALVADOR,219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANA'A,385,1,0,1,2,0,1,3,2,2,2,2,1,5,2,24
SANTA ANA,258,2,4,2,2,1,1,4,2,2,4,4,2,5,1,36
SANTIAGO,193,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4
SANTIAGO DE LOS CABALLEROS,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO BERNARDO DO CAMPO,176,3,4,2,2,1,1,4,2,0,3,1,2,3,3,31
SAO PAULO,29,2,3,1,2,1,1,4,2,1,2,4,1,2,2,28
SASKATOON,351,2,4,2,2,1,1,4,2,0,4,3,2,5,3,35
SEKONDI TAKORADI,233,1,4,0,1,0,0,4,0,0,0,0,0,0,0,10
SHEBEEN EL-KOM,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIDI BARRANI,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINAIA,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMITHERS,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOHAG,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUSSE,314,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ST. CATHARINES,220,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3
ST. JOHN'S,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUCRE,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SURIGAO,153,0,3,2,2,0,1,4,2,0,0,0,1,0,0,15
SURREY,101,2,3,1,2,1,1,4,2,0,1,4,2,5,3,31
TABACO,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TACURONG,92,2,4,2,2,1,1,3,2,1,1,0,2,5,2,28
TAFILA,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGAYTAY,171,0,0,1,0,0,0,1,1,0,0,1,1,0,2,7
TANTA,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARLAC,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEHRAN,54,0,2,0,2,0,0,4,1,1,2,3,0,1,1,17
TEL AVIV-YAFO,274,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
THIES,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THUNDER BAY,244,0,0,0,1,1,0,2,2,0,1,1,1,1,0,10
TOLEDO,172,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
TORONTO,1,3,4,2,2,1,1,4,2,2,4,4,2,5,3,39
TRUJILLO,253,3,2,2,2,1,0,3,2,2,4,1,2,5,3,32
TUGUEGARAO,173,2,4,2,2,1,1,4,2,2,3,2,2,5,3,35
URMIA,383,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
UST KAMENOGORSK,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALDIVIA,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALPARAISO,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VANCOUVER,22,1,1,0,2,1,1,4,2,0,1,3,1,1,2,20
VAUGHAN,254,2,0,2,2,1,1,4,1,0,4,1,2,3,3,26
VICTORIA,157,1,0,0,2,1,1,1,2,0,0,2,2,2,3,17
VICTORIA,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIGAN,145,1,0,2,2,1,0,3,2,0,1,1,2,1,1,17
VILNIUS,248,0,0,0,1,0,1,4,2,0,2,0,0,1,1,12
WAD MADANI,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITBY,345,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
WINDHOEK,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINDSOR,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAOUNDE,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAMBOANGA,112,2,4,2,2,1,0,4,2,1,3,2,2,0,3,28
ZAPOPAN,222,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3
ZARQA,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
