CityName,CityUniqueID_,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,solid waste,telecommunication and innovation,transportation,shelter,urban planning,wastewater,water and sanitation,all
LONDON,nm001,2,1,1,0,1,2,0,0,1,1,0,1,0,1,1,0,12
WINDSOR,nm004,1,1,1,0,1,2,0,0,1,1,0,1,0,1,1,0,11
GREATER SUDBURY,nm003,2,1,1,0,1,2,0,0,1,1,0,1,0,1,1,0,12
SAULT STE MARIE,nm002,2,1,1,0,1,2,0,0,1,1,0,2,0,1,2,0,14
VILNIUS,nm005,1,1,1,0,1,1,1,4,2,1,0,2,0,0,1,1,17
PRAGUE,nm008,1,1,1,0,1,1,0,2,1,1,0,1,0,1,1,2,14
BRNO,nm006,1,1,1,0,1,1,0,2,1,1,0,1,0,1,0,0,11
OSTRAVA,nm007,1,1,1,0,1,1,0,2,1,1,0,1,0,1,0,0,11
